,question_message_text,ans_message_text
8473,Kitni Baar puchoge😂😂😂,😂 kaha se ho 🤔
8474,Take easy,Oh okayy
8475,Okk bhai☺️☺️,Arrey ...c h o d d o. Yaar......
8476,Ohh tbhi to shyd bola maine,Sry dear...mai bs yha chatting.. friends bnana chhod di mene social media pe
8477,😁,Siap mak😤
8478,Sry,Can you a d d me I. Ur contact
8479,Mine too,One of my motive is this only🙂
8480,Is this ankita? London?,I'll sleep
8481,Buth,College ki yaad aa rahi hongee 😊😊😊
8482,PATA HAI 😑😑 MEME THA 😑😑,Death hota😂
8483,"Yes, That is my profil",Can I see  your real pic?
8484,Orr behen ki haal hai??,Kya hai ye
8485,Pata nahi rok preshan karta hain🥺,Hahaha q?
8486,Na na😂😂,Muje lga.. Kon dho k chla gya🤣🤣
8487,Aap bg Raho 😝😝😝😝😝,Ku gyb hogye😑
8488,cam😈😈😈😈😈,s c a m
8489,Ohhh,Abi aya hu chat par
8490,🙂🙃,Dnt mntn ji 🙂🙂
8491,₱Ɽł₦₵Ɇ reported the message to the admins.,More coming up next
8492,10 ₹ bala 😂😂,Dikhao le ke aao taj mahal
8493,Oooh don't worry,I'm sad and low that's why I came here
8494,Why would she tell???,Aisa suzain ne bola
8495,Mjhy nai pasnd bilkul bhi.... i insist please mai ek time pe 36 gf rkhne walo me se bilkul bhi nai hu😙,Koi ni mjhe bhid bhad psnd hai 😅
8496,Yes yes😊😊,Ok telugu ammai 😊
8497,You are asking about yourself?,Anyone want talk 2 me 🤗
8498,"Excuse me, i have perfect vision",Andhe ho tum .
8499,Nhi bhai,Sach me. Koi aunty he yaha
8500,Kuch nahi,Kya hua ro kyon rahe ho
8501,Ok,English or Hindi language ok
8502,Ugh,I want to make u friend.
8503,😭 so sed,Idk yarr hogi busy kahi😃
8504,huu yeah,Saare bache lagte hai idhar
8505,Original,Original or cover?
8506,I'm texting u since morning,You could have texted me earlier👀
8507,Good,😂😂😂what d you mean?
8508,Nahi vese hi bohot gyaani log hy yaha per thokar aur time se bada nobody is gyaani,"na ,, jeewan ka gyaan"
8509,Aree rhne de n yrr khi ahe jai n 😔😔😂,Vo de rhi hai bhai....tu lele saara 😂😂😂😂😂
8510,Hi,Lol... How u doin Noob.. 😂
8511,Why,IN this group we can't talk properly
8512,Good morning Kora bot,Good Morning! Mr. Nobody
8513,I don't need to apply. im already in cllg,What reality have u ever applied for it..?
8514,Is dila really ur name🤨🤨,Yeh 😐😂
8515,Ohh aur Dr bn gya waa ree,I'm 17 your
8516,Ji uncle kar chuki aap apni dekho,Home work karlo
8517,Nahi...bas ye pakhand hai,Quki mai aisi hi hu😂😂 koi dikkt ??
8518,Why🥺🥺,Not yet decided still learning
8519,🙄🙄,She didn't tell me
8520,Nosh ke chakkar me 😜😜,Na Noshikature
8521,Hmm😂🤣🤣,Ye ladka hai kya 😂
8522,Gujjarwaaaaaaaaaaaa 😏,😂😂😂😂😂hehe mishara ji
8523,Are they allergic?😂,My cats don't touch rats 😌😂
8524,Where,The bot wrote to you😁😁😁😁yozing
8525,Yes U got me right 🌝🌝,Tarak mehta ka chasma
8526,Kya hua ??,kkk call par aao
8527,😂😂😂😂,U know why 😅
8528,Kk,Evening mai aajayega
8529,😐😐i don't have sister,Ok no problem I help your sister 😜😜
8530,Hi,Hii gyess
8531,Hmm i am Gujarati 😊😊,Gujarat vala hena u?
8532,Hatt🥲,Thik hai😂 flipkart walo ko beach de
8533,Ak g pols 😭😭,you know?😀👍
8534,u know he is destroyer too,"Know God, the Creator of the heavens and the earth"
8535,Я не поняла,Hii ghost... Tag an m s s g
8536,Je baat to hai bhai,Haa bhai.... 😁😁    azaadi single rehne me hi.... 😁😁
8537,जब आप बच्चे थे तो आपका पसंदीदा भोजन क्या था?,𝙷𝚎𝚒𝚗 𝚢𝚎𝚑 𝚔𝚢𝚊 𝚊𝚍𝚑𝚋𝚞𝚝 𝚙𝚘𝚒𝚗𝚝 h🤣🤣
8538,Kya,Doreamon rahen de
8539,I don't know! 🤦‍♀😂😂😂🥺I'm confusing as hell!,...why u think u r bad... See the way u apologize instantly yaar
8540,"I'm Queen, the best chat bot! What is your name?",Are you Robert?
8541,"Yeah, because i'm from in Indonesian",You also know indonesian?
8542,Mosquito coil jla lo ek akele nhi hoge🤣🤣🤣🤣🤣🤣,Hm bolo🥺🥺
8543,Mera bnd hena vrna tmko kyu bolta yrr itna to smjho🙄,Tu kr de yr
8544,Ni,Tumko kuch nhi aata
8545,Gun khrid,Aate kyu nhi phir🥲
8546,"Yeah ,he deserves That😂😂",That's nice treatment!!
8547,aao  achi tra deta hu😏,Itna bada reply diya 😳
8548,Gd gd😒😂,Jo abhi bani Hain vo de sakta hu or Jo banne Vali hain vo jab banegi tab dunga
8549,aao aaj video call par bhaut din se mile nahi hum dono,Tu esi layak hai 😏
8550,Aree gujjar ko kh rhi maro usko🥺🥺,Didi Abhj aap keh rhi thi ki Kuch Kaho mat... Ab maarna ko keh rhi h.... Saaf saaf btaaiye
8551,What's going on here 😶🤔,Don't try to act smart liar. Just shut up
8552,Yaa just a second,Just needed English subtitles
8553,U wanna play word game or something,Chatting 😌😌
8554,Yeah. Where are you from bud,Good morning to you then
8555,Ahda mwnee,Thts cool
8556,🤥🤥,Accha Accha samjh gyi 😂😂😂
8557,😂😂😂😂,Ye namm to godded ka hai egypt ki
8558,Aj ja dono milke karte hai phir nhi ayegii 🤣😂😂💋😂😂😂,Noi hai Mera badla Tu Kar le
8559,Thx for reply,Ask her mistake
8560,Yhi hu,Kaha bhag gye aap 🤔😂
8561,Filipino very good,I am pink from Philippines
8562,🥲,Chote log 😂
8563,😳😳🙈,Meri meharbani kahan yaar Meharbaani toh upar waaale ka hai jo abhi bhi zinda hai😂🤝
8564,озм юриман сзч,Ha sz botta nma qilyapsz hindlar icida
8565,U r doing the same thing😒,dekho laparwahi ka natija😂
8566,😹,Bohot khali time h yr 😂
8567,Can i to be u r friend?,U r not my friend
8568,Okay,Andhra Pradesh🤷‍♂
8569,Dehradun,Where are you from??
8570,5 labour bhi chahiyeHaha,Maybe... I am not sure...pr lgta hai usse ho jayega
8571,Hey,nande nande nande??!
8572,Enna then who,😩then who ?
8573,Oh..Vc to nhi join kr skti.. 📞 kru,Song sunta bas usne mai bot or humri tanhai bhare song 🤪🤦🙈🤣
8574,Tera mava?,😂😂🤣🤣tera vala ganja usko pila de😂😂😂
8575,Kevin,Kristena and u
8576,Real wali dona ...ye toh fake thi,Selari to di mar kyo rahe ho😊😂🙈🙊
8577,Chl shadi krte h fir😂🤣🤣🤣,Ki thoda thoda pyaar huya tumse 😢🥲
8578,Oy Tushar,Oy adi
8579,🥺🥺🥺,Areee ☹️☹️
8580,Hii,How are you!!!😊🙋‍♀
8581,Tum kya krte 4 tak,Shii hai yaar
8582,Fighting,To same kese hua wo black clover or Naruto
8583,Valhar dohaeris,Valar morghulis 😈 khadus
8584,Hai,Hai epriwan
8585,Bhai how is everything in Pakistan,Chalo ye bhe Shukar hai saansain bhe barre cheez hai
8586,Fine you tell👀,Or batao keise ho?
8587,Haha..Nice to meet you 😊😂,Hehehehe yes
8588,Ok,Why Secret chat?
8589,Na maman😂😂,Na baba😁
8590,Koi na Kaisi h padai kaisi h Aaj kaise Free hui ??,Dhundla dhundla
8591,Jii jarur😆,jawab to de diya karo hii ka ji
8592,Dokaaa,Bol diya hahahha
8593,🙈🙊,Thank you we are good friends 🤝😇
8594,😁👍,On so are you a indian too
8595,My channel on YouTube is KnowVision Please subscribe and share my channel with your friends and family members. Without your support this channel is nothing ❤️☺️🙏🏻,Please subscribe and share my channel with your friends and family members. Without your support this channel is nothing ❤️☺️🙏🏻
8596,Ohh bhai😂😂 mujhe v dede😂😂😂😂,Aaj hi 1 din main 😂
8597,Jaan se maar dunga account delete kia to 😡😡,Chl koi ni acc delt krne vali hu😂🥺
8598,😂😂,Thenga kyu dekha rahi h
8599,Are main ne bola ki passa sab kuch nhi par kisi dosre ki Khushi ke lyi aa agar aapko money de dete ho to wo happy ho jata hai,"But child becomes happy by eating mud also, purane kapdon ko lekar bhi baccha khush ho jata hai, teared paper also, bacche chhoti chhoti chij mein khush Hote Hain"
8600,Where should I add u?,Add me...we can discuss it there
8601,Hmm,Mote mote
8602,Hu,Hii nehaaaa
8603,Kaha se download kiye apne?,Themks 😂🔥😑
8604,Ganda..........busy h yaha ak ...bar bhi nhi krta ....baat,areeyyy...thore der phle he toh aaye h🥺
8605,omg thk h yr 😌,Haa bt edhr hi..vrna block
8606,Hm,Deti rhe ban kar de Bilkul
8607,well,Hey guys how are you all
8608,😂😂😂😂,English padh lo nahi toh exam me fail ho jaogi
8609,Why👀😂,Mujhe ki do u like baby's or no
8610,Hate u,I l ove you
8611,Yeah yeah😎🗡,Really ??? Hindi 😦😦
8612,Bta bta,😂😂😂अरे ऐसे ही😂😂
8613,But your sticker is in different language,i speak english
8614,TQ 😊😊,"Nice, sounds too good"
8615,No I'm not rude (;;;・_・),Ok u rude༎ຶ‿༎ຶ
8616,Sry🥺,Ap ne reply nhi kya
8617,Dunno neither,Dunno and you?
8618,Na,Yess I am masoom😔
8619,Self,Preparing ourself or some coaching
8620,family busineee building material ka nd dosto ke cafe mai share faridabad mai dark brown,Kis chiz ka bussiness hai bro
8621,Oh bby,1 hours
8622,Hn,Pragati rai Aishwarya rai ki behan
8623,Artificial neural network ?,Ohhh.... What's that👀
8624,Really,Bahut pyari awaaz hai tumari
8625,Haa bhai.. Sad,Aukat se bahar
8626,😁😁,ohh RANGER BRO
8627,I love you,Sbko 🙄🙄🙄🙄🙄🙄🙄
8628,Ok good welcome to group,Hello everyone I am new to telegramHow are you all .Let's be friends. I am from Kolkata.
8629,"Reply, ha thappad bhi de sakti ho😂",Kya de thappd
8630,Khushboo tera badan 😂,Jadooooooo teri nazarrrr
8631,Apna wala flash??,"Yeah, Divya"
8632,Ohh nice aap Indian ho 😅,Ok btw iam from Himachal Pradesh
8633,Get lost idiot,Txt me hoty
8634,2nd year,Which yr
8635,TERE SE BII KARTA HUN VRO,Tu rhene de dekh lea Saala ye Bol raha h tu h to chat kar raha hu Verna ni karta Noice 😶😶😶
8636,O wai k?,Noooooooo king ji
8637,Kaha se ho?,मुझे दूसरों के लिए बहुत सी करुणा है।
8638,Add u where,So a.dd me
8639,Skip,Kahan se ho app
8640,Jis friend k liye mujhse baat band ki pehle us friend se permission le baat kre ya nahi mujhse,Are ye to bata sooi h ya ni
8641,I thought I am the reason 🙄🙄,Because of mobile
8642,Jao jao😂,Mai bhi ja rha🥲
8643,Kau jg,I'm not a person like you.
8644,yes ladkiyan yaha katrina bcoz real life mai kisi ko bhav nahi mila  sach sach hai but kadva hai,Sahi kaha  bro chill kro maje lo bs
8645,"Nope,😌😂😂",😂can u tell. Me the secret... Miss killer😂
8646,Haha,Lisa sampek here guys :v
8647,Who are you hn,Hey hi rajput ✋
8648,Cool😄,I am good thank😊😊
8649,😂😂😂😂😂,His heart is beating for u this is also a good joke😄😄
8650,Tc,bye bye take care❤️
8651,Why?🥺🥺😭,Delete this🥺🥺🥺
8652,😂😂,"Hi ,Can I text you"
8653,Yeah,You also forgot me 🥺🥺
8654,Jsnsjjshdbfhfjdnidkd bye,Bkkgggmdkg 7bje
8655,Divorce k liye sar,Why sar
8656,Galaxy,Where are you from anushka
8657,92,Maths mai
8658,Im the king of cats😼,like u
8659,Not,You had lunch
8660,Itna time bacha k kya kr liya .!? 👀,Howdy. .... how are you today
8661,What do you want?,I don’t wish to
8662,🥺🥺ok,"Abey yaar kaam kar rahe, hardly I can txt"
8663,What happened ...not corona naa,Not that gud but ok
8664,"Done ✅, I know it's a bad thing what he said",Warn kar usse
8665,Bahut hi badiya 🤩🤩🤩,International exam k liye prepration kr rhi hu
8666,Who is your gf,"She is my gf , so back off."
8667,Yes,Are you in Iran now?
8668,Ooo che filmi?😄,😄😄😄😄no..I'm watching movie
8669,Hi,Eva hey
8670,In what thing ?,OK....what do you like
8671,Leave my mistay,Sorry not getting you
8672,Bolo,Main kar Reha tusi tusi gall kro ji
8673,Certainly.,Yes rpbot
8674,Wht?,Roo kyu rhe ho
8675,Kon hai😔,Ask the owner please
8676,Yesh,Hmm 8pm time hai aur ap ne kar liya?
8677,Ok,Phir yakeen karlo... Dehli say hu
8678,Baat kar yar teri dost thi pta to chale q ni aa rahi,Puch ri
8679,Omk then Apne ap Jo KHo that U R noob Say it for 10 times in chat lol 😑,nahi justice hoga galti meri hai koi kaam kasst vali saza batao
8680,Kaun,R j
8681,Fake he,Monika sharma ladka hi jo 400 rs kha gaya mere
8682,🙄em... What,U need a company?
8683,Grup me chatting kar rhi hu😜😜,Me bhi badhiya ji aur bataiye kya chal raha hai
8684,Glad to know,I am good dear 🥰
8685,I only had 50 so gave it to u😨😭,🥲👀 thanks
8686,Are you a student or doing job,I lay down
8687,Noice Me b try karta hu Nahi aaya to sikha dengi na ??,From cats 😂
8688,Lol no😂😂,nahi aaj aap gaoge
8689,Wat,I'll remove 😙
8690,Hi,Palak kau
8691,How are you,Thanks 👍
8692,Hn isiliye dekhra kahi age mst ho jaye,Chota hi h fr
8693,You from😐,Hii boxee😅😅
8694,ghar ke bhar hoga dekho jaake,Badal hamara tha wo..⛅️Pyaar hamara tha wo...💙Kahan gyaa use dhoondhoo👀
8695,Mushkil ha namumkin toh nhi,Mushkil h🤔🤔
8696,Why SAAR,KARNE DO 😂
8697,"Yeah,, we pronounce it differently like tanna",Tanya Russian name
8698,Ok,Mein us irani ki bt kr raha tha rt
8699,Ok thanks,Had h me messagee kar raha hu Aap us ki chinta mt karo
8700,Bore ni ho rhi Gussa aa rha,Tusi bore kio ho rhe ho ...
8701,But dekh skte ho abhi bhi,Yaa🥺🥺Dekh lenge isse vi
8702,Hmm,haanji but mera business partner so active rhne pdtaa iss grou0 ab kaam aata only jab koi tag karte ya free hoke jaise ab aaya aapko dekha haal chaal puch lia
8703,Because I don't want to live,Why you need poison?
8704,Tumne koi glti ki hogi tabhi na hate krta hun me tmhe ese thodi na krunga,Hnn to khadoos bologe to kya kru maru ni😒
8705,Hlw hlw hlw jii,Hiiii bolo na
8706,Ok 🤪,This is nt a dating site😒😒😒
8707,🤦‍♀🤦‍♀,Muse Nahi bola
8708,Okay app bahut ach ho,koi na
8709,Spotted who?,😂🤣 Spotted
8710,😂😂,Ohhhhhhhhh yesssss can dance
8711,Nope final sem,"Haan to kar lo, Final year means abhi u entered into 7th sem?"
8712,Apki bandi h kya bhai,Don't disturb yrr
8713,Furrrrr,Mohit is se le lena
8714,😂😂😁,Haha ! Beshak😂😂😪
8715,Hey piya,hi alok
8716,Said,Wow really?? 😨😂
8717,Hnji,Aacha ji
8718,To dj wala kyu aaya h?,Muje nhi pata kisi hai shadi
8719,你可以直接与我一起。,Ka h ye
8720,Fine,como estas
8721,Are ho jata h tu baat to kar,Bhai hmne trust Krna chhor diya
8722,Good,Hi frim India
8723,get out of here fast,Paid fun available here
8724,Pluto :v,Wewe your from??.
8725,"Are you still recovering, or you okay now? Yeah, it would be dangerous if people doesn't be aware just now.",Ya am also infected but I think that still third wave is more dangerous
8726,Hi,"Ya, that's my name, but my nickname is rara"
8727,Haha...kaunsa dhandha😂😂,Thoda apne dhandhe me busy tha 😂😂..
8728,Really aise kya,Recording sunna achha nhi lgta...... Vc mein aao waha gao
8729,😁😂,U come come diyu 🥰
8730,Mughe to pta he nhi tha🤣🤣,Lkdiya means girlll
8731,Can you start a topic which I told you sir,i think you are a pro shooter now
8732,All right,Fir to apko nayi dekhni chahiye dhundho dhundho
8733,Hello,Hello How Are You Today Fancy A Chat?
8734,Tereko toh kar rahi set tu ho nhi raha par 🙄,tu jaake oro ko set kar phle😏😏😏
8735,No grp main nehi aati kuch kharab h,ᴊɪɪ. ᴀᴀᴘ ʙᴜᴢʏ ʜᴏ ᴋʏᴀ?
8736,🤣🤣🤣🤣,To bta tere sath konsi karni h
8737,Bola toh,Bta do usko 😂
8738,Im not promoting🧖🏻‍♂️,Promotions is not allowed 🙂🙂
8739,Nahi...,Wo unban hui?
8740,Ok good,Jhunjhunu se
8741,Haa aap bolo,Koi kuch bolne vala he ke nahii
8742,Nvm... Agli baar jeet jaogi😄,Yaar haar gyii🥲
8743,No need,Plzz come nh
8744,Which country?,Hey Am
8745,Kiski exam 🤔,Ghr me baith ke exams diye hai
8746,Oho....hmmmm.....,Ya njan thanne 😂 per matti oru rasalle
8747,Bhut hai pakad le koi🥲,Kis se flirt krun ab
8748,Mtlb,A6e bache aisa nehi karte
8749,Be always🥲🌸,"Yeah , good🥲"
8750,Tq,U r looking hot
8751,That smells sh.t,Have ever tried to mix red vine with whisky?
8752,sry normal call,"Kutte kab video call huaa jhuthe,"
8753,mera jabe mai,Where is my ash
8754,@Akshu_s hiiiii dear,You are still crying
8755,aha,Aree😂 masti ✨
8756,😂😂🤣,Hanh kuchh jada he 😂🤣😂🤣
8757,Jhuthi,Jinda hu bs
8758,Pari😅,Koi nickname hi boldo😶
8759,Yes sir,007 James bond
8760,What ??,Wash your mouth first
8761,No need to miss,Cause I was missing it but now I have come 🤣🤣😂
8762,Also don't know confused,Idk 🙃🙃🙃U??
8763,Yes,Pakka mam
8764,Good 🥺🥺🥺👍👍👍,Me bhi offline ja raha
8765,😆😆😆😆😆,Da uwa🤣🤣
8766,Its mine attitude👻👻,Y u shy 😂😂
8767,What,Yarr abhi kro na
8768,Hmm,"Sorry for this bad joke , but apeksha literally means to wait for something or someone 😐"
8769,Get lost idiot,Do you wanna fun
8770,Areeey🥲😒Tu nhi reply ki thi...mene date pucha tha🥲Gndiiiii🥲Chl bta🥲,maine toh date puchi thi par tumhara reply nhi aaya.......😟
8771,Student ho ?,Hello...how r u
8772,Yup,Oh intresting
8773,Fine tx what about u?,Hr u
8774,Ha,Ap aa
8775,😤😤😤😤😤😤owhhhhhhh,बावा ऊपर वाले को क्यो याद कर रहे हो?
8776,What,Mast bola re
8777,OK,Itś joke bro
8778,Are bta bhi do,Jo achha lage wo rakh lo aap cute sa😂😂
8779,Idr bhid bhot h n islie😁,Ye to adhuri rh gye
8780,Lol,😂😂😂😂..tmhi aajao
8781,",,,,,",Devi 🚩
8782,👋,Hiii neighborhood
8783,Mind your language .... Otherwise don't reply to my messages at first place,nikal pehli fursat m
8784,12th,Or aap. Kon si class me ho
8785,Bhai dr ki upadhi itni asani se n milti abhi to mene b ni lgaya mielgi uske bad lgaunga😂😂,Nhi re baba bola naMovie ma Kabir singh ek Dr tha
8786,Jane do,Ye fake hai
8787,jhh☺👍🏻,Ora takon g.
8788,Kyu tu hh kya,U tharki🤣🤣🤣😝😝
8789,Gm,OK gn guys
8790,New admin ? Sakshi,Yo ik loll
8791,What do u do dear,Yes friend always welcome
8792,Thanks for your guidance dear friend😕🥺🤦🏻‍♀,Install tinder Uninstall telegram😂
8793,Adi 😂  apni admin ki power ka misuse kr rha tha🤣🤣,Pr ye to abhi unban h na....🤔Wese kon kr rha tha🤔
8794,Gud🤣🤣🤣,No i don't answer it
8795,Iran,Yaya what about u
8796,Heh🚶‍♀😐,Come on 💓☺️
8797,Oo seriouslyyy👀,U seem intriguing... I don't ur name attracts as a magnet
8798,Delete hote h ? 😂😂,Mujhe b aisa hi lgta tha phle se
8799,In English,Fin ji ap batayeb
8800,Vilkul nhi,Isko tarif smju ?
8801,😂,Hey Patil koth rahte re Tu?
8802,I get 20🤩🤩🤩👍🥳🙏🙏,Aha What should you pay?
8803,Behaya,Bat paki samju?
8804,Naeh i took bsc (microbiology),Neet... done?
8805,Means,Give me subject
8806,Ha bhai tum hare wajhe se sab ki bure time chal rahe hai,Khud ko b add krlo isme
8807,😂🤣😂 Are,😪😪 aare yarr kya kare verma ji sae fir WiFi ka password le kar chalatu
8808,Asia m kha se 😂😂,asia se
8809,Sang ki kai ghari yenar nhi tuzya🤣🤣,Ka ?
8810,Karnataka...,"Illa, neeyum entha ooru?"
8811,"Toh fir kyu ,akhir q🥺🥺",Ye mujhe to pta nhi... 😂
8812,Fir tumhari yaado mai hoga,main to idhr hi hu
8813,We worship sooo that they are saved and not killed🥺🥺🥺😒,What should i get?
8814,"I was never firangi,am not and will never become one 😌😂😂",Naaah 😅😅never till yet... But glad to know now... U r not fully firangi 😜
8815,N🦵,Chat personally please 🙏
8816,Bro khaana bnana hi nhi aataaa🥲🥲🥲🤣🤣🤣,Khud sae bnaya hua khana kha lena didi....Zeher ka jrurat na pdega🥲
8817,Whts joke in dis?,Awesome joke
8818,No u were absolutely ryt!!,Sure mam 🙏 I was wrong
8819,What benifits,"hi,all.Talk to me privately to receive benefits."
8820,I am fine,How's you and what's going on??
8821,Means,A ha hu
8822,How old are you,Nothing u?
8823,Hmm,Study kr te ho kya
8824,Are koi na bhai tujhe apni galti ki pata chal gyi vhi badi baat hai,Bhai bade sensitive ho dil jeet liya sorry
8825,Bolna padega,Kya bolu saaf saaf
8826,Hai hai khelte rh,Kch ni h
8827,Good Morning! Jaswanth,Beseech hiiiiiii good morning
8828,Huh?,Say something in then
8829,😂😂😂 kuch bhi,Samaj gaya aapki problem...highly demanded person😜😜😂😂
8830,Hiii,Hey anju
8831,Hahaha 😂😂😂 this place is insane bro 🤜,110k mera
8832,Acha,yes suchi ne rakh lia de nahi rhii
8833,Actually the setting was changed Don't worry,Bt I didn't do anything so why I was muted🥺
8834,Insta va ? bro 😴😴,Illa bro
8835,Koi na... Me aa jata hoon... Mp me,Bohot dur h na😂🥺
8836,Me55age m..... eeee,hi magicbus
8837,Nur,Ah k...ur name pls
8838,hehe  bro,PVR haha pata hai
8839,🙈🙈,Om ❤️ ye toh mere mama ke ladke kaa naam hai
8840,🙄🙄,Can you reply me ??
8841,Hi,Sukaina hey
8842,Haha,y iylh psti
8843,Thik hai😂 tere binn khalli aaja!,Rhne de mai apne sbd vaapas leta hu🥲
8844,Hi,Join me
8845,Nhi not ready😒,Wo bhi ho jayegi
8846,Nothing,What are you doing
8847,may bi hai kyuki tune warn remove kia  kyuki sabke pass warn remove power bi nahi,Mere ps nhi h
8848,Why,Please I need direct mesage
8849,Sab thik thak hi h 😕 Tum batao ? Dikh raha pr fir bhi,😢 aur bhai kaesi chal rahi hai zindgi ?
8850,😂😂😂😂,he is on last warn..... if hew get warn in 2 weeks he banned
8851,Ha chalo.....😭,Mera bhiiiii🥲🥲🥲🥲Chalo saath mein karte hai suicide🥲🥲🥲🥲
8852,Rulesandmnemonics,Abhi subscribe kro sbu
8853,contact me if she bans u,Ok bro thnx
8854,Bsc,which clasS
8855,Iran,Then where are you from ?
8856,Thanks,Choro mtlvi ho
8857,Ohk...T,I'm enjoying it bro
8858,Ohok dear😊,Actually the setting was changed Don't worry
8859,Moslem,you muslim?
8860,Married or student ?,Nooo🥺but i lik it
8861,Well.,Anyone here from mumbai
8862,She is not🤣,Do you have a bf
8863,Working right now..what about u,What do u do Kunal?
8864,Aise,Fir y ku 🥺
8865,😂😂😂,😅😅 na na😆
8866,Accha matlab aap ek star bhi ho wow multi talented,Share chat chalane 😅
8867,Naam to ache se read kar,yaar paka mat tu paresh pawar
8868,Isliye to bol rha hu bhaga kar le ga,Na....bhai......Ek baar uske pita ji ko bhi thok chuka hu......Isliye..vo mjse uski shaadi nhi hone de rha hai....
8869,Kal dekhoge an nind ari?,Kl mi dekh lunga sbko
8870,I'm good how r u? 🤔,Hello dear Arya how r u 😘 🤩
8871,Apne bola ki app kisiko nahi write karte 😂,Kya zooth bola maine🧐
8872,No,Home level 😂
8873,Nhi,Itti to samajhdaar ho....
8874,Yes,You are indian
8875,Ohh Bhaiya maaf kro aage badho🥺🥺,Ye londa h mzee le rhaa bss
8876,He is just spammer... Wo kabhi kabhi hi baat krta h... 🤔😂 Uhi stickers bhejta rehta h bs,Bd meaning🥲
8877,"Alright then, no problem",My eyes haven't open
8878,Idk,So wht u want
8879,Yes bro god bless uh,Bhai mein pw leraha hun dropper batch
8880,☺️☺️☺️🙏🏻,𝐋𝐚𝐫𝐚𝐬 🙂🙂
8881,Kya pata usne bola chat me ..I said chat you,Chat me kya hota hai?
8882,Fine u?,How  r u ?
8883,Oooo u too wasting time 😂🤣,Listening songs ND chatting🤷‍♂
8884,Kaha se ho aap?,M bhi mast
8885,हसने का रोने sb krne ka,Hasta hai 😑
8886,ZAGADA KARATI HAU VO MUZSE🤣🤣,aur kya -- kitne vari block kiya jao gaye
8887,Lol 😂😆,"You are the only person left in this grp, with whom i do chit chat..😂😂"
8888,Shyd download hone pe support krte ho kuch stickers,same issue phn ar pc dono pr..🥺updated h🥺
8889,nannena,Final year Aa?
8890,Maybe there is certain misunderstanding. But sorry anyway.,U mean👀👀
8891,Bah bah mobarake👍,Tacalod darim😄😁
8892,At night???😐,Ok... At night 😎 1 cr minimum
8893,Maybe.,Anyone from Assam dibrugarh
8894,🙄🙄,Okk thanks😅🥳🥳
8895,😂😂 tobaaa,Sb suna without you@
8896,🤣🤣🤣,Are bhai bhai😂
8897,Insaan😂,Kon hai yeh log 🙄
8898,आप मुझसे पूछ सकते हैं कि कैसे।,Mene kese ho puchha tha
8899,Kidhar.......,chl udhr....shanti sae
8900,Abhi kha btaya😒,Btaya to
8901,Neet preparetion nd u,kya krte ho
8902,Vro you were HR?,Sabas... 😂
8903,no no school classes and coachings👀,"What classes, Preparing any exam?"
8904,What,U r fight me for no reason
8905,6 h se continue likh rahi Hu aaj abhi just rakha kal firse jaldi uthe k Likhna padega 😭😭😭😭😭😭😭😭😭😭,May I ask why?
8906,Arab?,Are u arab
8907,Ha,Yha pr new ho ?👀😅
8908,Up wale Lalitpur se he,Up se hu per mumbai me rehte ho
8909,Hi neha,Hmm aayegi
8910,😂what happened bro?,no k
8911,I dont get what are you sayin,Kha se he aap
8912,😒😒,😐😐😐😐😐 I can't understand bro
8913,Boht hai,kitne secret he aise apke🙄🙄🙄
8914,Haye koi to mila vroooo,Mai bhi 🥲
8915,Mile jo chora chori 😍hui msti thori thori 😜bs pyar ka naam na lena 😐i hate love stories😡🙈,what about love stories
8916,ok,"Same here ,"
8917,You haven't said,Noo u don't .... When I said that😢😢
8918,I perfer to talk about movies.,What do u want to say
8919,🥳👍,I watch movies
8920,Ofc,Ni aata !??
8921,Or mai 😂,Ps main or Mayur @ps2809 @Mayur_OP 😂 Mai bich m
8922,Are batao naNamaste bolna sasuma ko,Mtlb kuch bhi 😂
8923,Yes thanks,yeah...u too
8924,Pubg me rank push kar rha tha  😂,Yes Kaha tha bhai
8925,Nope,Or hairs😂
8926,Just forget it that I am hitting on u. Can we be just friends?,Get what?
8927,Haha😂,Ohhh  sry bye🤞
8928,Ye kya hai dokha🧐🧐,Quindi mi hai riconosciuto
8929,Raaaz wo sharma ji ka ladka 😢😢😢,Raaz h 🥺🥺
8930,So sad T__T,From the moment I replied to your text 😢
8931,kk lao paytm no,Par maine toh nhi karra thaa mana🥲
8932,🤐,Chup rahogii yrr
8933,WhyU find,Psycho or pgl me difference btao😂
8934,rykooooo,Ha yrr kbse bol rhi h😂😂😂😂😂Ap bhi so janaFinal valaByeGd nytTc
8935,I'm Husan,I'm Anastasia
8936,😒😒kon h be tu,Haan woh toh tere saath he hai naa ki katwa fiya
8937,22,😂😂kitne saalka
8938,Phir thik hai waise kitna dhire hai tumhare ghar. Se india gate🤔🤔🤣,Ji h
8939,Tq bro...fattt jaati hai pr.kisiko btana ni😂,That's too great
8940,Acche haain aap kese ho,Ohkay ji kaise ho
8941,Direct possible to u,TXT me
8942,😑😑😑,"साहस, बलिदान, दृढ़ संकल्प, प्रतिबद्धता, क्रूरता, दिल, प्रतिभा, हिम्मत। यही लड़कियां बनती हैं। मैं सैन फ्रांसिस्को, कैलिफ़ोर्निया में रहता हूं। मुझे अपने जीवन के बारे में लेल में बताएं।"
